titulo,descripcion,fecha_publicacion,autores,categorias,ediciones
"1. Estructuras de Datos y Algoritmos en C++","Completo manual de estructuras de datos y algoritmos implementados en C++ con ejemplos prácticos y análisis de complejidad. Ideal para estudiantes de Ciencias de la Computación.",2025-03-20,"Adam Drozdek","Informática, Programación","ISBN=TMP-2025-EDSAC;fecha_edicion=2025-03-20"
"2. Cálculo: Trascendentes Tempranas","Texto fundamental de cálculo diferencial e integral con enfoque en aplicaciones prácticas para ingeniería y ciencias físicas.",2025-03-20,"James Stewart","Matemáticas, Educación","ISBN=TMP-2025-CALCT;fecha_edicion=2025-03-20"
"3. Fundamentos de Administración","Guía esencial de principios administrativos contemporáneos con casos de estudio globales y enfoque en liderazgo estratégico.",2025-03-20,"Stephen P. Robbins","Administración, Economía","ISBN=TMP-2025-FUNDAD;fecha_edicion=2025-03-20"
"4. Contabilidad","Manual completo de principios contables con normativas internacionales IFRS y ejemplos prácticos para gestión financiera.",2025-03-20,"Charles T. Horngren,Walter T. Harrison,Madison V. Olivo","Contabilidad, Economía","ISBN=TMP-2025-CONTG;fecha_edicion=2025-03-20"
"5. Fundamentos de física","Introducción a la física moderna con aplicaciones en ingeniería y ciencias naturales. Incluye problemas resueltos y laboratorios virtuales.",2025-03-20,"Richard Wolfson, Andrew Rex","Física, Educación","ISBN=TMP-2025-FISGEN;fecha_edicion=2025-03-20"
"6. Introducción a la Psicología","Panorama completo de las principales corrientes psicológicas con enfoque en desarrollo humano y neurociencias aplicadas.",2025-03-20,"Linda L. Davidoff","Psicología, Ciencias Sociales","ISBN=TMP-2025-PSICO;fecha_edicion=2025-03-20"
"7. Mecánica de Fluidos","Tratado avanzado de dinámica de fluidos con aplicaciones en ingeniería mecánica y aeroespacial. Contiene modelos computacionales.",2025-03-20,"Frank M. White","Ingeniería, Física","ISBN=TMP-2025-MECFL;fecha_edicion=2025-03-20"
"8. Introduction to the Theory of Computation","Fundamentos teóricos de autómatas, lenguajes formales y computabilidad. Libro clave para ciencia computacional teórica.",2025-03-20,"Michael Sipser","Informática, Matemáticas","ISBN=TMP-2025-TEOCOM;fecha_edicion=2025-03-20"
"9. Fundamentos de Marketing","Estrategias modernas de marketing digital y tradicional con casos de estudio internacionales y análisis de mercado.",2025-03-20,"Philip Kotler,Gary M. Armstrong,Lourdes Amador,Leticia Pineda","Marketing, Negocios","ISBN=TMP-2025-MARKT;fecha_edicion=2025-03-20"
"10. Análisis Matemático","Texto riguroso de análisis real y complejo con demostraciones detalladas y aplicaciones en física matemática.",2025-03-20,"Tom M. Apostol","Matemáticas Avanzadas","ISBN=TMP-2025-ANALM;fecha_edicion=2025-03-20"
"11. Historia de la Filosofía Occidental","Recorrido desde los presocráticos hasta la filosofía contemporánea, analizando corrientes fundamentales del pensamiento occidental.",2025-03-20,"Bertrand Russell","Filosofía, Historia","ISBN=TMP-2025-HFILO;fecha_edicion=2025-03-20"
"12. Ingeniería de Software","Metodologías ágiles y tradicionales para desarrollo de software, con énfasis en calidad, testing y gestión de proyectos.",2025-03-20,"Ian Sommerville","Informática, Ingeniería","ISBN=TMP-2025-INGSO;fecha_edicion=2025-03-20"
"13. Probabilidad y Estadística para Ingeniería y Ciencias","Enfoque aplicado de métodos estadísticos con software especializado y estudios de caso en investigación científica.",2025-03-20,"Jay L. Devore","Matemáticas, Investigación","ISBN=TMP-2025-ESTAD;fecha_edicion=2025-03-20"
"14. Redes de Computadoras","Arquitectura de redes modernas, protocolos de comunicación y seguridad informática. Incluye laboratorios de configuración CISCO.",2025-03-20,"Andrew S. Tanenbaum","Redes, Informática","ISBN=TMP-2025-REDES;fecha_edicion=2025-03-20"
"15. Principios de economía","Análisis macro y microeconómico actualizado con datos globales y enfoque en políticas económicas contemporáneas.",2025-03-20,"N. Gregory Mankiw","Economía","ISBN=TMP-2025-ECONO;fecha_edicion=2025-03-20"
"16. Historia del Arte","Evolución del arte occidental desde la antigüedad hasta el arte moderno, con análisis de obras emblemáticas.",2025-03-20,"E.H. Gombrich","Arte, Historia","ISBN=TMP-2025-HARTE;fecha_edicion=2025-03-20"
"17. BASES DE DATOS Diseño, implementacion y administracion","Guía completa de diseño de bases de datos relacionales y NoSQL con estudios de caso empresariales.",2025-03-20,"Carlos Coronel","Bases de Datos, Informática","ISBN=TMP-2025-BD;fecha_edicion=2025-03-20"
"18. Introduccion a la ciencia de la computacion.","Fundamentos teóricos y prácticos de algoritmia y estructuras computacionales con Python y Java.",2025-03-20,"Behrouz A. Forouzan","Informática, Programación","ISBN=TMP-2025-ICC;fecha_edicion=2025-03-20"
"19. Lenguaje de Programacion C","Clásico texto sobre programación en C con ejemplos prácticos y buenas prácticas para desarrollo de sistemas.",2025-03-20,"Brian W. Kernighan, Dennis M. Ritchie","Programación, Sistemas","ISBN=TMP-2025-LPC;fecha_edicion=2025-03-20"
"20. Analisis de circuitos en ingenieria","Teoría y aplicaciones prácticas de análisis de circuitos eléctricos y electrónicos con simulaciones SPICE.",2025-03-20,"William H. Hayt","Electrónica, Ingeniería","ISBN=TMP-2025-CIRC;fecha_edicion=2025-03-20"
"21. Sobre la teoria de la Relatividad Especial y General","Exposición accesible de los fundamentos de la relatividad con implicaciones cosmológicas.",2025-03-20,"Albert Einstein","Física Teórica","ISBN=TMP-2025-RELAT;fecha_edicion=2025-03-20"
"22. Algorithms Unlocked","Introducción a algoritmos fundamentales para estructuras de datos y su complejidad computacional.",2025-03-20,"Thomas H. Cormen","Algoritmos, Programación","ISBN=TMP-2025-ALGUN;fecha_edicion=2025-03-20"
"23. Project Management","Metodologías PMI y Scrum para gestión de proyectos tecnológicos con herramientas de planificación moderna.",2025-03-20,"Harold Kerzner","Gestión, Tecnología","ISBN=TMP-2025-PROMA;fecha_edicion=2025-03-20"
"26. Instructor’s Manual Formal languages and Automata","Material complementario para teoría de autómatas y lenguajes formales con ejercicios resueltos.",2025-03-20,"Peter Linz","Informática Teórica","ISBN=TMP-2025-AUTOM;fecha_edicion=2025-03-20"
"29. Contabilidad de Costos","Técnicas avanzadas de costeo y presupuestación para toma de decisiones empresariales.",2025-03-20,"Charles T. Horngren","Contabilidad, Finanzas","ISBN=TMP-2025-COCO;fecha_edicion=2025-03-20"
"30. Matemáticas Financieras","Herramientas cuantitativas para valuación de inversiones y análisis de riesgos financieros.",2025-03-20,"Jose Luis Villalobos","Finanzas, Matemáticas","ISBN=TMP-2025-MATFI;fecha_edicion=2025-03-20"
"32. Teoría y Diseño de Circuitos","Principios de diseño electrónico analógico y digital con aplicaciones en IoT y robótica.",2025-03-20,"William H. Hayt","Electrónica, IoT","ISBN=TMP-2025-TDCIR;fecha_edicion=2025-03-20"
"33. Sistemas operativos: Aspectos internos y principios de diseño","Arquitectura de sistemas operativos modernos con estudio del kernel Linux y Windows.",2025-03-20,"William Stallings","Sistemas Operativos","ISBN=TMP-2025-SO;fecha_edicion=2025-03-20"
"34. Microeconomía con aplicaciones para Latinoamérica","Análisis de mercados emergentes y políticas económicas regionales con casos latinoamericanos.",2025-03-20,"Paul A. Samuelson","Economía, Estudios Regionales","ISBN=TMP-2025-MICRO;fecha_edicion=2025-03-20"
"35. Química General","Conceptos fundamentales de química inorgánica y orgánica con laboratorios virtuales interactivos.",2025-03-20,"Raymond Chang","Química","ISBN=TMP-2025-QUIM;fecha_edicion=2025-03-20"
"37. Teoría y Práctica del Derecho Penal","Análisis de sistemas penales contemporáneos y jurisprudencia relevante.",2025-03-20,"Luis Jiménez de Asúa","Derecho","ISBN=TMP-2025-DPEN;fecha_edicion=2025-03-20"
"38. Introducción al Estudio del Derecho","Fundamentos de teoría jurídica y sistemas legales comparados.",2025-03-20,"Eduardo Gracía Máynez","Derecho","ISBN=TMP-2025-DERECH;fecha_edicion=2025-03-20"
"39. El Arte de la Guerra","Estrategias clásicas de liderazgo y gestión de conflictos aplicadas al mundo moderno.",2025-03-20,"Sun Tzu","Estrategia, Filosofía","ISBN=TMP-2025-ARTGU;fecha_edicion=2025-03-20"
"40. Cálculo de varias variables. Trascendentes tempranas","Extensión multivariable del cálculo con aplicaciones en física e ingeniería.",2025-03-20,"James Stewart","Matemáticas, Ingeniería","ISBN=TMP-2025-CALMV;fecha_edicion=2025-03-20"
"42. Mathematics for Economists","Herramientas matemáticas avanzadas para modelado económico y econometría.",2025-03-20,"Carl P. Simon","Matemáticas, Economía","ISBN=TMP-2025-MATEC;fecha_edicion=2025-03-20"
"43. Discrete and combinatorial mathematics An Applied Introduction","Matemáticas discretas para ciencia computacional y teoría de grafos aplicada.",2025-03-20,"Ralph P. Grimaldi","Matemáticas, Informática","ISBN=TMP-2025-DISCM;fecha_edicion=2025-03-20"
