titulo,descripcion,fecha_publicacion,autores,categorias,ediciones
"1. Estructuras de Datos y Algoritmos en C++","Completo manual...","2025-03-20","Adam Drozdek","Informática","ISBN=TMP-2025-EDSAC;fecha_edicion=2025-03-20"
"2. Cálculo: Trascendentes Tempranas","Texto fundamental...","2025-03-20","James Stewart","Ciencias Exactas, Educación","ISBN=TMP-2025-CALCT;fecha_edicion=2025-03-20"
"3. Fundamentos de Administración","Guía esencial...","2025-03-20","Stephen P. Robbins","Administración, Economía","ISBN=TMP-2025-FUNDAD;fecha_edicion=2025-03-20"
"4. Contabilidad","Manual completo...","2025-03-20","Charles T. Horngren,Walter T. Harrison,Madison V. Olivo","Economía","ISBN=TMP-2025-CONTG;fecha_edicion=2025-03-20"
"5. Fundamentos de física","Introducción a...","2025-03-20","Richard Wolfson, Andrew Rex","Ciencias Exactas, Educación","ISBN=TMP-2025-FISGEN;fecha_edicion=2025-03-20"
"6. Introducción a la Psicología","Panorama completo...","2025-03-20","Linda L. Davidoff","Ciencias Sociales","ISBN=TMP-2025-PSICO;fecha_edicion=2025-03-20"
"7. Mecánica de Fluidos","Tratado avanzado...","2025-03-20","Frank M. White","Ingeniería, Ciencias Exactas","ISBN=TMP-2025-MECFL;fecha_edicion=2025-03-20"
"8. Introduction to the Theory of Computation","Fundamentos teóricos...","2025-03-20","Michael Sipser","Informática, Ciencias Exactas","ISBN=TMP-2025-TEOCOM;fecha_edicion=2025-03-20"
"9. Fundamentos de Marketing","Estrategias modernas...","2025-03-20","Philip Kotler,Gary M. Armstrong,Lourdes Amador,Leticia Pineda","Administración","ISBN=TMP-2025-MARKT;fecha_edicion=2025-03-20"
"10. Análisis Matemático","Texto riguroso...","2025-03-20","Tom M. Apostol","Ciencias Exactas","ISBN=TMP-2025-ANALM;fecha_edicion=2025-03-20"
"11. Historia de la Filosofía Occidental","Recorrido desde...","2025-03-20","Bertrand Russell","Ciencias Sociales","ISBN=TMP-2025-HFILO;fecha_edicion=2025-03-20"
"12. Ingeniería de Software","Metodologías ágiles...","2025-03-20","Ian Sommerville","Informática, Ingeniería","ISBN=TMP-2025-INGSO;fecha_edicion=2025-03-20"
"13. Probabilidad y Estadística para Ingeniería y Ciencias","Enfoque aplicado...","2025-03-20","Jay L. Devore","Ciencias Exactas, Educación","ISBN=TMP-2025-ESTAD;fecha_edicion=2025-03-20"
"14. Redes de Computadoras","Arquitectura de...","2025-03-20","Andrew S. Tanenbaum","Informática","ISBN=TMP-2025-REDES;fecha_edicion=2025-03-20"
